row ID	row m/z	row retention time	default/dlab/121207_aby_D_DD_MS2.mzXML Peak area	inputParams-00002.mzXML Peak area	inputParams-00001.mzXML Peak area	
1	659.3700561523438	2.7718833333333333	1.1415325656984372E7	0	0	
2	698.4242248535156	2.7718833333333333	9458639.090218741	0	0	
3	655.3831481933594	2.7718833333333333	4958659.759671872	0	0	
4	666.5336303710938	4.1091	9953431.169400388	0	0	
5	670.54150390625	0.7806666666666667	1765807.7907871092	0	0	
6	221.08387756347656	3.1158	1468352.5941630853	0	0	
7	373.177978515625	2.5273	1461895.712875	0	0	
8	594.4582824707031	2.7718833333333333	391150.66330371064	0	0	
9	415.2547912597656	3.0296416666666666	0	4.672096702596004E9	3.2797076370219936E9	
10	459.2792205810547	3.1344583333333333	0	4.714181871877993E9	2.968933270187499E9	
11	371.22674560546875	2.893841666666667	0	3.9777841707799983E9	3.094548523595994E9	
12	503.30442810058594	3.2394333333333334	0	3.3392222979040103E9	2.341951073884003E9	
13	327.2013168334961	2.72035	0	3.3224433318161287E9	2.663945294039505E9	
14	432.27976989746094	3.0198833333333335	0	3.477976029479504E9	3.5077559649054956E9	
15	476.3058090209961	3.125233333333333	0	2.939987411779745E9	2.8267764027829967E9	
16	388.25341796875	2.893841666666667	0	3.3890249231523767E9	3.053718222483938E9	
17	547.334228515625	3.315008333333333	0	2.3808072860599957E9	1.4033491206720033E9	
18	344.2286682128906	2.7102916666666665	0	2.721732050281066E9	2.4417038475114107E9	
19	520.331298828125	3.229808333333333	0	2.4344796246222568E9	2.3488988137510047E9	
20	564.361083984375	3.3157666666666668	0	1.9663908508029957E9	0	
21	283.1756134033203	2.4925750000000004	0	2.5448715725223827E9	2.0533142739629955E9	
22	318.1957244873047	3.4635249999999997	0	1.3205458466431289E9	7.423690547680042E8	
23	132.10169982910156	0.7601333333333333	0	1.8925605152999375E9	1.6381031831903505E9	
24	389.2677001953125	5.847658333333333	0	1.3957437979770017E9	2.4303427148800025E9	
25	608.3844604492188	3.399425	0	1.3913870777962472E9	1.3628575570026238E9	
26	296.18190002441406	3.3897250000000003	0	1.1929472758779979E9	7.343202345814985E8	
27	591.356689453125	3.399425	0	1.1970611547659976E9	8.366930902679995E8	
28	641.4438629150391	6.972583333333334	0	8.901299738579947E8	7.803193157143781E8	
29	597.4187164306641	6.991	0	1.0984180736299965E9	8.673724218749995E8	
30	340.20843505859375	3.535075	0	9.795468861942497E8	5.676943653999981E8	
31	553.3963470458984	7.009933333333333	0	1.0027424170027453E9	8.246190820149962E8	
32	614.4501953125	6.987533333333333	0	9.984727943179967E8	0	
33	670.510498046875	8.256225	0	9.46911810214488E8	1.083185390661501E9	
34	570.4188232421875	7.018233333333334	0	9.522230813039947E8	1.078138826418996E9	
35	375.28977966308594	7.163108333333334	0	8.756701905849898E8	1.0826312098480046E9	
36	437.23667907714844	3.0296416666666666	0	1.0834112956960015E9	1.081387797021999E9	
37	393.20933532714844	2.893841666666667	0	1.1595323560445018E9	1.1819959275985627E9	
38	658.4717864990234	6.9633	0	9.34119861127999E8	9.99860057271999E8	
39	685.4712219238281	6.953891666666666	0	6.98416497796003E8	5.645906502484998E8	
40	349.1824188232422	2.7102916666666665	0	1.2655051675835018E9	1.265870157919751E9	
41	714.537353515625	8.226383333333334	0	8.651835303609957E8	9.278692671950049E8	
42	652.4071655273438	3.4627	0	8.525178869680027E8	0	
43	702.4986877441406	6.953891666666666	0	7.647362068359997E8	7.393217819774992E8	
44	509.3675308227539	7.0261	0	7.378785403249987E8	6.273989730989957E8	
45	481.2593078613281	3.1347916666666666	0	8.578825539337485E8	8.822429215279988E8	
46	626.4855804443359	8.27655	0	7.91447617400007E8	1.0675139662279992E9	
47	460.31256103515625	3.010158333333334	0	3.1513947594800276E8	4.235726026659992E8	
48	698.5416870117188	8.755316666666667	0	8.377119218555028E8	9.460795848389994E8	
49	300.20155334472656	2.4925750000000004	0	1.7351759195898442E9	1.537116578724784E9	
50	686.5023651123047	7.622433333333333	0	6.335800609120599E8	6.245304001149969E8	
51	362.22129821777344	3.58845	0	6.907209527641236E8	3.765377440922498E8	
52	742.5661926269531	8.735633333333332	0	8.03033221076747E8	7.712509758264989E8	
53	642.4773254394531	7.670075	0	7.455228546209939E8	8.282327059180013E8	
54	598.4517211914062	7.670075	0	7.090112858929988E8	8.563131886470013E8	
55	802.5876159667969	8.180616666666666	0	4.0345336576087373E8	5.741007960412844E8	
56	786.5907287597656	8.696358333333333	0	6.07918276091498E8	6.020026702260014E8	
57	830.6159820556641	8.686725	0	4.075086207379983E8	3.967157996579978E8	
58	305.15631103515625	2.4925750000000004	0	1.538874718640094E9	1.3531672524528458E9	
59	416.28416442871094	2.873525	0	7.360668269405011E8	3.7785416224999857E8	
60	526.3955383300781	7.0347	0	7.428730112790006E8	8.781701734609967E8	
61	372.2601013183594	2.7395416666666668	0	6.338154100781271E8	6.517390352000002E8	
62	391.28260803222656	5.778233333333333	0	7.525081515959992E8	2.724868146825E8	
63	548.3313598632812	3.3157666666666668	0	6.23894751777499E8	0	
64	123.07936096191406	11.544450000000001	0	2.612720183107995E9	0	
65	514.3597717285156	5.595291666666666	0	5.939416843659986E8	6.045403639830018E8	
66	758.5587768554688	8.207941666666667	0	7.317322498770671E8	7.787764773220054E8	
67	635.3845977783203	3.4635249999999997	0	5.441677446600016E8	3.125663270280017E8	
68	654.5148010253906	8.765116666666668	0	7.307411362239994E8	8.154771204199994E8	
69	582.455810546875	8.304208333333333	0	4.798693841397582E8	6.141084245824957E8	
70	746.5262145996094	6.927	0	5.2897289254000175E8	5.424346265879996E8	
71	525.2860717773438	3.2394333333333334	0	6.542281972370017E8	6.901685395280007E8	
72	371.25732421875	5.847658333333333	0	5.583758369862508E8	1.0333036162760012E9	
73	470.33294677734375	5.585891666666667	0	4.0732450323599845E8	4.5737747638849986E8	
74	558.3829040527344	5.622983333333334	0	6.034028782374992E8	6.293012300050023E8	
75	328.23387145996094	2.502466666666667	0	1.3770805649323292E9	9.252265677349857E8	
76	554.4286499023438	7.703383333333333	0	3.914795646940012E8	0	
77	586.4160308837891	6.3085	0	5.621852510705028E8	5.584699974849988E8	
78	730.5265045166016	7.612458333333333	0	5.1981627619656354E8	5.987797880399985E8	
79	729.4976196289062	6.944641666666667	0	4.756171124471268E8	3.664530037159994E8	
80	406.2962951660156	5.847658333333333	0	5.161468561670008E8	9.977566294250009E8	
81	217.10419464111328	1.0619083333333332	0	1.7693991679888127E9	1.1621622135490308E9	
82	123.07936096191406	11.796050000000001	0	9.626471556095023E8	0	
83	602.4083099365234	5.6323	0	5.901089770780005E8	5.741062311060002E8	
84	357.2798614501953	7.163108333333334	0	4.1015899351324517E8	6.022789158892512E8	
85	696.4361419677734	3.5342	0	5.54693201463313E8	3.657407081277489E8	
86	391.28260803222656	5.585891666666667	0	5.057397124434992E8	5.283376162329989E8	
87	274.16873931884766	3.315008333333333	0	4.9221097201999897E8	2.8306616198000073E8	
88	384.2356719970703	3.6422	0	4.2039173282600033E8	1.954501886160002E8	
89	774.5521545410156	7.582741666666667	0	3.9038763662250227E8	3.964928752200002E8	
90	166.0857925415039	0.9636083333333333	0	8.014142250455624E8	5.890286380893751E8	
91	569.3153076171875	3.315008333333333	0	4.7329882220399886E8	5.0844760256399983E8	
92	348.72176361083984	3.535075	0	4.4274513836450016E8	3.328181743459989E8	
93	874.640380859375	8.677316666666666	0	3.8011595573075026E8	3.160466162031267E8	
94	542.38818359375	6.327075000000001	0	4.429584352815654E8	4.8843446151999897E8	
95	326.70787048339844	3.4635249999999997	0	4.0930931991200125E8	3.130954588220018E8	
96	504.3395690917969	3.164066666666667	0	4.561101913989992E8	3.947811793319996E8	
97	370.73536682128906	3.5791250000000003	0	3.7165182752206165E8	2.762745466338752E8	
98	285.01971435546875	3.4635249999999997	0	3.7871437225000066E8	5.1204762004750115E8	
99	646.4344482421875	5.642066666666667	0	4.57994321026001E8	4.137556358559996E8	
100	227.19992065429688	7.018233333333334	0	8.270943134958762E8	8.121473670449989E8	
101	465.34190368652344	7.0432749999999995	0	3.713031216455627E8	3.438519776274988E8	
102	321.2787322998047	7.553425000000001	0	3.384175978485011E8	3.2707051482262504E8	
103	610.4893798828125	8.785083333333333	0	4.0115317954918474E8	4.4977302907199764E8	
104	918.6705017089844	8.648558333333334	0	2.5051665739068648E8	1.7279839749800026E8	
105	160.13340759277344	0.57145	0	8.356343850912186E8	1.0282752765340623E8	
106	846.6132202148438	8.15175	0	3.2928474567112166E8	3.3079954750099653E8	
107	299.2589111328125	7.361491666666667	0	3.592440074170017E8	1.5765097190709373E8	
108	548.3619995117188	3.2599666666666667	0	2.7750670266400105E8	0	
109	173.07826232910156	0.7894083333333333	0	4.296026113135001E8	1.8942773212349993E8	
110	426.30648040771484	5.5686583333333335	0	2.318238632385E8	2.4530392792759234E8	
111	790.550048828125	6.927	0	3.2503666497506356E8	3.5841537503599787E8	
112	697.5098571777344	8.217666666666666	0	2.8281411540649927E8	2.5067210535650235E8	
113	482.3677978515625	7.062191666666667	0	3.406547966525012E8	3.8545053197199947E8	
114	541.3591156005859	5.622983333333334	0	2.871630889063745E8	2.38776947334001E8	
115	429.23120880126953	3.0597666666666665	0	2.9036208225987494E8	3.0286875666412485E8	
116	653.4835815429688	8.256225	0	2.3522922866874495E8	2.6128615899212584E8	
117	497.3335266113281	5.604324999999999	0	2.4424467052399898E8	2.0228667995500082E8	
118	675.4621887207031	8.256225	0	2.0369300742299506E8	2.8079068161599946E8	
119	740.4595642089844	3.5890333333333335	0	3.0193288479349935E8	0	
120	341.18065643310547	2.7678916666666664	0	4.450033202019059E8	4.412193394608123E8	
121	569.3867950439453	6.3085	0	2.3453731491750038E8	1.889293553902496E8	
122	625.4531402587891	7.670075	0	3.030477723922475E8	2.4816490071450025E8	
123	613.3394470214844	3.399425	0	2.843658700304994E8	3.258738961749998E8	
124	385.2056121826172	2.9340666666666664	0	3.778341879004998E8	3.820927945136878E8	
125	421.31626892089844	7.052899999999999	0	2.6971887855125093E8	2.114213747009998E8	
126	406.24400329589844	3.6893166666666666	0	2.6491820328500095E8	1.3057177985812488E8	
127	409.2801513671875	6.902275	0	2.2136472548825026E8	1.711503283750005E8	
128	498.3643341064453	6.327075000000001	0	2.8069288455450237E8	3.354547192315002E8	
129	303.2688903808594	8.052325	0	3.107972680597333E8	4.705937069550059E7	
130	581.4238739013672	7.679116666666666	0	2.7995441538199955E8	2.3192060829300037E8	
131	392.74755859375	3.6422	0	2.5508593958575013E8	1.6060887928896913E8	
132	304.69667053222656	3.399425	0	2.5921205565324947E8	2.052764890854996E8	
133	120.08122444152832	0.9732083333333333	0	5.409497342393123E8	4.027712156738126E8	
134	818.577392578125	7.548116666666667	0	2.523907029775009E8	0	
135	609.4542846679688	8.263	0	1.4755731221299732E8	0	
136	525.3644104003906	6.3085	0	2.3787471713518897E8	1.7240081007412472E8	
137	690.4605712890625	5.651925	0	2.987715224490011E8	2.877763933080006E8	
138	195.1223373413086	1.0720166666666666	0	6.953167486016564E8	5.61050494618375E8	
139	718.4941711425781	6.281816666666666	0	2.267639886617499E8	2.3893627264800042E8	
140	358.2073287963867	2.7771833333333333	0	4.713499819302497E8	5.278860205497032E8	
141	631.4380340576172	8.27655	0	2.130771963847518E8	2.5867274854075035E8	
142	719.4909210205078	8.217666666666666	0	2.2501524236349913E8	2.429591846968771E8	
143	382.2785949707031	5.559324999999999	0	1.612262440360634E8	1.8074829609562328E8	
144	137.04578399658203	0.7320166666666668	0	2.7874054918700004E8	1.9650143519890618E8	
145	453.3068618774414	5.595291666666666	0	2.2282988772199935E8	1.690352254545004E8	
146	402.23329162597656	2.9526666666666666	0	2.9826159563487446E8	3.9611961483568835E8	
147	679.4088745117188	3.525925	0	1.8061675301999986E8	1.0732131946799967E8	
148	414.76171875	3.6893166666666666	0	1.805336305702505E8	1.0309660743050005E8	
149	297.15374755859375	2.522425	0	5.055972887730317E8	5.1564725305073464E8	
150	657.3670959472656	3.4635249999999997	0	1.7048654030800042E8	1.915378085120006E8	
151	359.29344940185547	7.044325	0	2.2299191465950015E8	1.9020318788899928E8	
152	473.2586364746094	3.1828166666666666	0	2.396005243990002E8	0	
153	663.427734375	6.9633	0	1.6971899132849905E8	2.0039360734650066E8	
154	559.3838195800781	7.703383333333333	0	1.6042062071550056E8	0	
155	713.5057373046875	7.612458333333333	0	2.140159453102504E8	1.6149075631399974E8	
156	379.2481384277344	3.58845	0	2.0153451683299965E8	2.453265736207499E8	
157	691.4599761962891	7.622433333333333	0	1.569977948019992E8	1.5748143970449919E8	
158	440.3580322265625	6.648816666666667	0	2.0323397923321185E8	1.8038261646017158E8	
159	484.38385009765625	6.629858333333333	0	2.1917859712444597E8	1.8836247422968706E8	
160	784.4917602539062	3.6422	0	1.9194487226300022E8	8.636310116900013E7	
161	575.3739929199219	7.018233333333334	0	2.036869739609987E8	2.6215893728449917E8	
162	834.5810241699219	6.894175000000001	0	1.4107415170150036E8	2.0806352503400043E8	
163	387.2538146972656	6.913516666666666	0	2.0316736307900053E8	0	
164	587.4139709472656	8.304208333333333	0	1.846198331040013E8	2.409434590037488E8	
165	538.4318389892578	8.313566666666667	0	2.1471722324800265E8	2.5339605593724692E8	
166	603.4055480957031	7.688791666666667	0	2.1695626581949964E8	2.501348513750009E8	
167	510.3993377685547	7.726583333333334	0	1.9440835204675138E8	2.2024629755899948E8	
168	828.5986328125	8.611241666666668	0	1.3974435062156102E8	1.5352927810923442E8	
169	512.3795013427734	8.611241666666668	0	1.3776472627774784E8	1.3512625568850067E8	
170	528.4117126464844	6.629858333333333	0	1.791295996090313E8	1.4608719627915582E8	
171	431.2922821044922	6.902275	0	1.6773469259025013E8	1.2803019367459443E8	
172	595.3469543457031	4.2731	0	1.8477484104799983E8	2.7114507864900005E8	
173	773.5204315185547	6.927	0	1.9084624221900076E8	1.6423903710237458E8	
174	629.4110260009766	5.6323	0	1.765734803910005E8	1.3506053305700058E8	
175	890.6430969238281	8.141691666666667	0	1.8321771181093463E8	1.6283860837106135E8	
176	763.5175628662109	8.217666666666666	0	1.61065730290002E8	2.133393524812523E8	
177	428.26275634765625	3.7367583333333334	0	1.7999242820940635E8	8.623154204775009E7	
178	531.3501434326172	7.0347	0	1.9762302740337515E8	2.437600768249992E8	
179	707.4522094726562	6.953891666666666	0	1.432049967030007E8	1.6371495606174985E8	
180	446.25865173339844	3.0697	0	2.033621024099999E8	2.6483636060850012E8	
181	703.4976806640625	8.755316666666667	0	1.912552796670005E8	1.9370118204949948E8	
182	153.04036712646484	0.6940583333333333	0	1.579973916439219E8	1.1112348421785942E8	
183	490.36424255371094	8.639058333333335	0	1.3266233070999828E8	1.1845996506756409E8	
184	401.2632064819336	3.6523166666666667	0	1.760201401195001E8	1.8516154074162543E8	
185	647.43359375	7.670075	0	2.2459044673137426E8	2.2853894436087576E8	
186	757.5293426513672	7.582741666666667	0	1.3360321188850078E8	1.2861271754200003E8	
187	657.4391174316406	6.289983333333334	0	1.548982924815E8	1.0267996778099997E8	
188	329.1864929199219	3.4635249999999997	0	1.4712579213000044E8	1.1793791539200027E8	
189	747.5236511230469	8.735633333333332	0	1.6650750390700012E8	1.694565831670008E8	
190	124.0395278930664	0.6752666666666667	0	2.3399305889748436E8	7.311294871934377E7	
191	762.5174865722656	6.273141666666667	0	1.2000076159199943E8	1.3944356595000038E8	
192	438.3406066894531	7.070575	0	1.570487659300009E8	2.0989232781749985E8	
193	398.34002685546875	5.044983333333334	0	1.8328829429905456E8	0	
194	423.2753143310547	3.6893166666666666	0	1.4700316492400056E8	1.538083529902499E8	
195	862.6083679199219	7.533591666666666	0	1.5179405883650035E8	1.2871871323446852E8	
196	631.4453125	6.309433333333333	0	1.4891191154450002E8	0	
197	199.16948699951172	6.3085	0	1.78525251939907E8	1.6213417663324207E8	
198	417.79115295410156	6.902275	0	1.0338402280581258E8	1.1951774353662518E8	
199	475.28697967529297	5.595291666666666	0	1.2400164127499965E8	1.3258175333275E8	
200	409.2801513671875	5.585891666666667	0	1.1961932727562459E8	9.621433591774982E7	
201	534.3138122558594	3.279775	0	1.0926820151340607E8	1.3416182429175003E8	
202	481.33660888671875	6.3085	0	1.5783389406450123E8	1.3314183237406227E8	
203	396.3305130004883	6.648816666666667	0	1.6230649035589847E8	1.5275285917959404E8	
204	275.1097717285156	1.9425999999999999	0	3.8248149399799997E8	0	
205	319.1372375488281	2.551816666666667	0	2.093912241070001E8	4.591741668881638E8	
206	519.3135375976562	5.604324999999999	0	1.434736623674996E8	1.3213976486350068E8	
207	734.4849853515625	5.6615	0	1.5102226260100076E8	1.3963461611249992E8	
208	835.5767364501953	8.686725	0	8.457141292149957E7	8.522335742024952E7	
209	561.0379638671875	6.759483333333334	0	1.08603834525E8	0	
210	639.4143676757812	6.869808333333333	0	1.2130854652753103E8	6.233946241125016E7	
211	287.0177917480469	3.4635249999999997	0	1.4171774894750026E8	1.6626278883800033E8	
212	962.7011108398438	8.648558333333334	0	1.1975587161974935E8	7.146302493000124E7	
213	659.4698638916016	8.775275	0	1.4393023945349973E8	1.6274660896799955E8	
214	565.4313659667969	8.2949	0	1.1223695289800201E8	1.075118436376252E8	
215	735.4873657226562	7.612458333333333	0	1.4390985893734407E8	1.2893861555399983E8	
216	439.8062744140625	6.886283333333333	0	1.1287723346125E8	1.0738732801550055E8	
217	696.5234680175781	8.341991666666667	0	1.431835611575001E8	1.202177703875002E8	
218	791.552490234375	8.696358333333333	0	1.1993177720049925E8	1.1646675587650049E8	
219	335.2223815917969	3.4734	0	1.1687857697100033E8	1.7892303723300105E8	
220	884.6626892089844	9.267775	0	1.1419489480454582E8	1.0878441111528075E8	
221	431.26282501220703	5.5686583333333335	0	9.368650944665633E7	9.905004799099924E7	
222	807.5391845703125	8.184266666666666	0	1.1106268779000036E8	0	
223	828.519287109375	3.6989333333333336	0	1.047547050835003E8	0	
224	182.08133697509766	0.7126416666666667	0	1.4730288034293753E8	1.3650921165225002E8	
225	450.26953125	3.7756833333333333	0	1.3063920997500004E8	7.064149976075006E7	
226	388.25341796875	3.0888416666666667	0	1.0972797866099983E8	9.181752847300011E7	
227	740.5543823242188	8.3375	0	1.2933895737100062E8	0	
228	490.2871398925781	3.1840666666666664	0	1.306993718875001E8	2.0660904298474964E8	
229	454.3385925292969	6.347541666666666	0	1.2993967959000112E8	1.516689417081564E8	
230	683.4414672851562	6.8615916666666665	0	1.2530854506949988E8	5.90250579032502E7	
231	784.5752258300781	8.648558333333334	0	1.0043396343514064E8	1.051103058175329E8	
232	472.2884979248047	3.8351916666666668	0	1.0894932261321904E8	5.376273532246883E7	
233	436.77323150634766	3.7461	0	1.3256991453675008E8	7.018292501800007E7	
234	183.08055114746094	5.828383333333333	0	1.0673515406237607E8	1.1622807175849986E8	
235	118.08630752563477	0.6273833333333334	0	2.9317400524215627E8	4.2003435263262504E8	
236	617.4010772705078	6.894175000000001	0	1.0931105271899988E8	4.985694253600015E7	
237	544.0151977539062	6.771458333333333	0	1.331138362926243E8	6.4251929264734745E7	
238	566.459228515625	8.790183333333333	0	1.1797362273799881E8	0	
239	395.7807922363281	6.9180166666666665	0	7.984843864225E7	8.797245402599955E7	
240	779.5136108398438	7.582741666666667	0	1.0076897839500059E8	1.0497248733100003E8	
241	363.1614532470703	2.7771833333333333	0	2.5030148334853098E8	2.5508958881962508E8	
242	467.2999801635742	3.7850916666666667	0	9.511543733259378E7	8.78869353182813E7	
243	445.2900848388672	3.7461	0	1.1636608368065631E8	1.0477038629000002E8	
244	819.5891418457031	7.572699999999999	0	1.2159987642487547E8	1.0057234039575002E8	
245	377.2909240722656	7.058833333333333	0	1.216636615050005E8	0	
246	381.72618103027344	3.58845	0	1.0393319988799964E8	1.1034260616500008E8	
247	387.23565673828125	5.57745	0	8.814315436057872E7	0	
248	701.4666748046875	6.289983333333334	0	9.714639062081252E7	7.207585133475012E7	
